asli,target
bahasa indonesia,indonesia
bahasa inggris,inggris
tidak tersedia,tidak tersedia
bahasa indonesia & english,"indonesia, inggris"
bahasa indonesia - english,"indonesia, inggris"
bahasa indonesia and english,"indonesia, inggris"
english & bahasa indonesia,"indonesia, inggris"
bahasa indonesia dan english,"indonesia, inggris"
"bahasa indonesia, english",mandarin
mandarin,"indonesia, inggris"
bahasa indonesia dan inggris,"indonesia, inggris"
english & bahasa,"indonesia, inggris"
english and bahasa indonesia,"indonesia, inggris"
bahasa indonesia & bahasa inggris,"indonesia, inggris"
indonesia - english,"indonesia, inggris"
english-bahasa indonesia,"indonesia, inggris"
indonesia & english,"indonesia, inggris"
indonesian and english,"indonesia, inggris"
"indonesia, mandarin, english","indonesia, inggris, mandarin"
bahasa and english,"indonesia, inggris"
"bahasa indonesia, bahasa inggris","indonesia, inggris"
bahasa indonesia dan bahasa inggris,"indonesia, inggris"
both english and bahasa indonesia,"indonesia, inggris"
english,inggris
indonesia,indonesia
"indonesia, english","indonesia, inggris"
"bahasa indonesia, mandarin, english","indonesia, inggris, mandarin"
"english, bahasa indonesia","indonesia, inggris"
bahasa & english,"indonesia, inggris"
"mandarin, english, indonesia","indonesia, inggris, mandarin"
"indonesia , inggris , mandarin","indonesia, inggris, mandarin"
"bahasa, english and mandarin","indonesia, inggris, mandarin"
english - indonesia,"indonesia, inggris"
english and bahasa,"indonesia, inggris"
"bahasa indonesia, bahasa inggris, bahasa mandarin","indonesia, inggris, mandarin"
english & arabic,"inggris, arab"
"bahasa, english, mandarin","indonesia, inggris, mandarin"
indonesia & inggris,"indonesia, inggris"
"bahasa , english","indonesia, inggris"
indonesia and english,"indonesia, inggris"
english & indonesia,"indonesia, inggris"
english & mandarin,"inggris, mandarin"
mixed between bahasa indonesia and english,"indonesia, inggris"
english and indonesian,"indonesia, inggris"
english-indonesia,"indonesia, inggris"
bahasa - english,"indonesia, inggris"
both bahasa indonesia and english,"indonesia, inggris"
bahasa indonesia dan mandarin,"indonesia, mandarin"
"bahasa indonesia, english, japan","indonesia, inggris, jepang"
"english, indonesia","indonesia, inggris"
both english & indonesia,"indonesia, inggris"
"english, mandarin and bahasa indonesia","indonesia, inggris, mandarin"
