id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
1,Jawa,Daerah Khusus Ibukota Jakarta,Spv Finance,PT Axindo Infotama,3,0 - 4 tahun,6,Retail/Merchandise,51 - 200 pekerja,sabtu,formal,kemeja polos & dasi,"kesehatan, umum",Indonesia,jobstreet,D3,5985
2,Jawa,Daerah Khusus Ibukota Jakarta,Qualitative Research Executive,Perusahaan Dirahasiakan,3,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,5985
3,Jawa,Jawa Tengah,Field Collection Wonogiri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
4,Jawa,Daerah Khusus Ibukota Jakarta,Perawat Di Negara Jerman,PT Jerman Manajemen,1,0 - 4 tahun,11,Pendidikan,51 - 200 pekerja,sabtu - kamis,formal,kemeja polos & dasi,kesehatan,Indonesia,jobstreet,D3,5985
5,Jawa,Jawa Tengah,Field Collection Pati,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
6,Jawa,Jawa Tengah,Field Collection Pekalongan,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
7,Jawa,Daerah Khusus Ibukota Jakarta,Animator Internship Program,MODENA INDONESIA,0,0 - 4 tahun,14,Elektrikal & Elektronik,501 - 1000 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, pendidikan, kacamata",Indonesia,jobstreet,"D3, S1",5985
8,Jawa,Daerah Khusus Ibukota Jakarta,Chef De Partie,PT Berkat Jaya Damai,5,5 - 9 tahun,14,Makanan & Minuman/Katering/Restoran,1- 50 pekerja,senin - jumat,kasual,kaos,tidak tersedia,Indonesia,jobstreet,D3,5985
9,Jawa,Daerah Khusus Ibukota Jakarta,Ui/Ux,PT Mulia Sukses Jaya,3,0 - 4 tahun,14,Elektrikal & Elektronik,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S2,5985
10,Jawa,Jawa Tengah,Field Collection Pemalang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
11,Jawa,Jawa Tengah,Field Collection Purbalingga,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
12,Jawa,Daerah Khusus Ibukota Jakarta,Apoteker,PT Medika Estetika Gemilang,1,0 - 4 tahun,9,Perawatan/Kecantikan/Fitnes,1- 50 pekerja,senin - sabtu,seragam,seragam kantor/lapangan,kesehatan,Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
13,Sumatera,Kepulauan Bangka Belitung,Bancassurance Consultant,PT AIA FINANCIAL,1,0 - 4 tahun,14,Asuransi,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,8
14,Jawa,Daerah Khusus Ibukota Jakarta,Company Driver,BTI INDO TEKNO,5,5 - 9 tahun,14,Umum & Grosir,1- 50 pekerja,senin - sabtu,bisnis,kemeja,kesehatan,"Indonesia, Inggris",jobstreet,TIDAK DICANTUMKAN,5985
15,Jawa,Jawa Tengah,Field Collection Purwodadi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
16,Jawa,Jawa Tengah,Field Collection Purworejo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
17,Jawa,Daerah Khusus Ibukota Jakarta,It Lead Etl Developer,PT Simian Technologies,6,5 - 9 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, bpjs kesehatan, bonus","Indonesia, Inggris",jobstreet,TIDAK DICANTUMKAN,5985
18,Jawa,Jawa Tengah,Field Collection Salatiga,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
19,Jawa,Jawa Tengah,Field Collection Solo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
20,Jawa,Jawa Tengah,Field Collection Sragen,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
21,Jawa,Jawa Tengah,Field Collection Magelang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
22,Jawa,Jawa Timur,Field Collection Tulungagung,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
23,Jawa,Jawa Tengah,Field Collection Majenang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
24,Jawa,Jawa Barat,Supevisor Printing,PT Lucky Print Abadi,3,0 - 4 tahun,14,Tekstil/Garment,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,umum,Indonesia,jobstreet,TIDAK DICANTUMKAN,1771
25,Jawa,Daerah Khusus Ibukota Jakarta,Web Designer,PT Plexis Erakarsa Pirantiniaga (Plasmedia),1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,bisnis,kemeja,kesehatan,"Indonesia, Inggris",jobstreet,"D3, S1",5985
26,Jawa,Daerah Khusus Ibukota Jakarta,Senior Machine Learning Engineer,detikcom,2,0 - 4 tahun,14,Jurnalisme,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,5985
27,Jawa,Jawa Tengah,Field Collection Banjarnegara,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
28,Jawa,Daerah Khusus Ibukota Jakarta,Senior Software Developer Specialist,PT. Lintas Teknologi Indonesia,5,5 - 9 tahun,14,Telekomunikasi,201 - 500 pekerja,fleksibel,kasual,kaos,"kesehatan, umum, kacamata",Inggris,jobstreet,TIDAK DICANTUMKAN,5985
29,Jawa,Jawa Timur,Marketing Digital Printing,PT Yobelindo Graha Mandiri,1,0 - 4 tahun,14,Properti/Real Estate,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,1296
30,Jawa,Jawa Tengah,Field Collection Blora,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
31,Jawa,Jawa Tengah,Field Collection Cilacap,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",548
