id_loker,pulau,provinsi,kota,job_position,skills_to_have,pendidikan,company_name,job_category,job_salary,job_type,platform
1,Sumatera,Kepulauan Riau,Batam,.Net Developer,".NET, English, Ado.net, Windows Azure, Saas, COM+, ASP.NET, VB.NET, HTML, XML, XPath",d3,I-access Solution,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
2,Sumatera,Kepulauan Riau,Batam,Fullstack Developer,"ReactJS, HTML, Express.js, Vue.js, Cloud Platform, CSS, nodejs, AngularJS, Restful Api, Koa.js, Git, apollo graphql",d3,Mossery,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
3,Jawa,DKI Jakarta,Jakarta,Frontend Developer,"Teamwork, Microsoft Office, Good Communication Skills",tidak dicantumkan,PT Mobilkamu Group Indonesia,Software Engineering,"IDR 1,000,000-0 / month",INTERNSHIP,glints
4,Jawa,DKI Jakarta,Jakarta,Backend Developer,"Agile Scrum, English, Java, Hibernate, Communication, Ci/cd, J2ee, Restful Api, Devops",tidak dicantumkan,Global Line Network,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
5,Sumatera,Kepulauan Riau,Batam,Frontend Developer,"Cms Wordpress, WordPress, Wordpress Development",tidak dicantumkan,Web Imp,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
6,Jawa,Jawa Barat,Depok,Chief Marketing Officer,"Marketing, Smart And Fast Learner, English, Information Technology, Business Ideas, Communication, Sales, Recite Quran, Arabic, Graphic Design, French, Google Ads, Copywriting, Chinese, Google Analytics",tidak dicantumkan,Learn Quran,Marketing,"IDR 0-8,000,000 / month",PART_TIME,glints
7,Jawa,DKI Jakarta,Jakarta,Finance & Accounting Associate,"Accounting, Financial Analysis, Tax Accounting, Account Management, Financial Accounting",s1,Flokq,Finance,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
8,Jawa,DKI Jakarta,Jakarta,Content Writer,"Content Writing, Content Creation, Content Marketing, Content Strategy",tidak dicantumkan,AppLabx Pte. Ltd,Media & Communications,SGD 10-100 / month,INTERNSHIP,glints
9,Jawa,DKI Jakarta,Jakarta,Digital Marketing,"Marketing, Digital Marketing, Branding and Identity, Social Media, Social Media Management, Brand Marketing, Fashion, Content Marketing, Content Strategy, Visual Basic, Social Media Marketing, Photo & Video Editing, Retail Fashion, Fashion Design, Marketing Strategy, Content Management, Fashion Photography, Fashion Styling, Digital Marketing Plan",tidak dicantumkan,Livou,Marketing,"IDR 4,000,000-8,000,000 / month",FULL_TIME,glints
10,Jawa,DKI Jakarta,Jakarta,Social Media Strategist,"Social Media Marketing, English, Content Writing, Customer Engagement, Social Media Management, Content Creation, Bahasa Indonesia, Content Strategy, Adobe Illustrator, Copywriting, Adobe Premiere Pro, Adobe Photoshop",s1,Flokq,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
