id_loker,provinsi,jumlah_loker
1,Daerah Khusus Ibukota Jakarta,5985
2,Daerah Khusus Ibukota Jakarta,5985
3,Jawa Tengah,548
4,Daerah Khusus Ibukota Jakarta,5985
5,Jawa Tengah,548
6,Jawa Tengah,548
7,Daerah Khusus Ibukota Jakarta,5985
8,Daerah Khusus Ibukota Jakarta,5985
9,Daerah Khusus Ibukota Jakarta,5985
10,Jawa Tengah,548
11,Jawa Tengah,548
12,Daerah Khusus Ibukota Jakarta,5985
13,Kepulauan Bangka Belitung,8
14,Daerah Khusus Ibukota Jakarta,5985
15,Jawa Tengah,548
16,Jawa Tengah,548
17,Daerah Khusus Ibukota Jakarta,5985
18,Jawa Tengah,548
19,Jawa Tengah,548
20,Jawa Tengah,548
21,Jawa Tengah,548
22,Jawa Timur,1296
23,Jawa Tengah,548
24,Jawa Barat,1771
25,Daerah Khusus Ibukota Jakarta,5985
26,Daerah Khusus Ibukota Jakarta,5985
27,Jawa Tengah,548
28,Daerah Khusus Ibukota Jakarta,5985
29,Jawa Timur,1296
30,Jawa Tengah,548
31,Jawa Tengah,548
32,Jawa Tengah,548
33,Jawa Tengah,548
34,Jawa Tengah,548
35,Jawa Tengah,548
36,Jawa Tengah,548
37,Jawa Timur,1296
38,Jawa Tengah,548
39,Jawa Timur,1296
40,Daerah Khusus Ibukota Jakarta,5985
41,Jawa Timur,1296
42,Jawa Timur,1296
43,Jawa Timur,1296
44,Daerah Khusus Ibukota Jakarta,5985
45,Jawa Timur,1296
46,Jawa Timur,1296
47,Jawa Timur,1296
48,Daerah Istimewa Yogyakarta,216
49,Daerah Khusus Ibukota Jakarta,5985
50,Jawa Timur,1296
51,Jawa Timur,1296
52,Jawa Timur,1296
53,Jawa Timur,1296
54,Jawa Timur,1296
55,Jawa Timur,1296
56,Daerah Khusus Ibukota Jakarta,5985
57,Daerah Khusus Ibukota Jakarta,5985
58,Jawa Timur,1296
59,Nusa Tenggara Barat,37
60,Daerah Khusus Ibukota Jakarta,5985
61,Banten,1219
62,Banten,1219
63,Banten,1219
64,Daerah Khusus Ibukota Jakarta,5985
65,Daerah Khusus Ibukota Jakarta,5985
66,Daerah Khusus Ibukota Jakarta,5985
67,Daerah Khusus Ibukota Jakarta,5985
68,Banten,1219
69,Jawa Timur,1296
70,Banten,1219
71,Jawa Timur,1296
72,Daerah Khusus Ibukota Jakarta,5985
73,Banten,1219
74,Daerah Khusus Ibukota Jakarta,5985
75,Daerah Khusus Ibukota Jakarta,5985
76,Daerah Khusus Ibukota Jakarta,5985
77,Riau,86
78,Daerah Khusus Ibukota Jakarta,5985
79,Nusa Tenggara Timur,18
80,Jawa Barat,1771
81,Riau,86
82,Banten,1219
83,Banten,1219
84,Daerah Khusus Ibukota Jakarta,5985
85,Daerah Khusus Ibukota Jakarta,5985
86,Jambi,37
87,Daerah Khusus Ibukota Jakarta,5985
88,Sumatera Barat,17
89,Daerah Khusus Ibukota Jakarta,5985
90,Jawa Barat,1771
91,Sumatera Utara,225
92,Daerah Khusus Ibukota Jakarta,5985
93,Jawa Barat,1771
94,Daerah Khusus Ibukota Jakarta,5985
95,Daerah Khusus Ibukota Jakarta,5985
96,Jawa Barat,1771
97,Jawa Tengah,548
98,Daerah Khusus Ibukota Jakarta,5985
99,Jambi,37
100,Sumatera Utara,225
101,Aceh,21
102,Kepulauan Bangka Belitung,8
103,Jawa Barat,1771
104,Bengkulu,7
105,Jawa Barat,1771
106,Daerah Khusus Ibukota Jakarta,5985
107,Jambi,37
108,Sumatera Barat,17
109,Lampung,43
110,Jawa Barat,1771
111,Jawa Barat,1771
112,Jambi,37
113,Daerah Khusus Ibukota Jakarta,5985
114,Kalimantan Timur,159
115,Jawa Tengah,548
116,Banten,1219
117,Jawa Timur,1296
118,Jawa Barat,1771
119,Jawa Barat,1771
120,Jawa Barat,1771
121,Daerah Khusus Ibukota Jakarta,5985
122,Daerah Khusus Ibukota Jakarta,5985
123,Jawa Timur,1296
124,Sumatera Utara,225
125,Daerah Khusus Ibukota Jakarta,5985
126,Jawa Timur,1296
127,Daerah Khusus Ibukota Jakarta,5985
128,Daerah Khusus Ibukota Jakarta,5985
129,Daerah Khusus Ibukota Jakarta,5985
130,Daerah Khusus Ibukota Jakarta,5985
131,Daerah Khusus Ibukota Jakarta,5985
132,Daerah Khusus Ibukota Jakarta,5985
133,Daerah Khusus Ibukota Jakarta,5985
134,Daerah Khusus Ibukota Jakarta,5985
135,Jawa Tengah,548
136,Sulawesi Selatan,121
137,Banten,1219
138,Daerah Khusus Ibukota Jakarta,5985
139,Sulawesi Tenggara,20
140,Daerah Khusus Ibukota Jakarta,5985
141,Daerah Khusus Ibukota Jakarta,5985
142,Daerah Khusus Ibukota Jakarta,5985
143,Daerah Khusus Ibukota Jakarta,5985
144,Jawa Barat,1771
145,Daerah Khusus Ibukota Jakarta,5985
146,Daerah Khusus Ibukota Jakarta,5985
147,Lampung,43
148,Papua,16
149,Jawa Tengah,548
150,Daerah Khusus Ibukota Jakarta,5985
151,Kalimantan Utara,22
152,Daerah Khusus Ibukota Jakarta,5985
153,Daerah Khusus Ibukota Jakarta,5985
154,Daerah Khusus Ibukota Jakarta,5985
155,Lampung,43
156,Daerah Khusus Ibukota Jakarta,5985
157,Daerah Khusus Ibukota Jakarta,5985
158,Daerah Khusus Ibukota Jakarta,5985
159,Sumatera Utara,225
160,Daerah Khusus Ibukota Jakarta,5985
161,Daerah Khusus Ibukota Jakarta,5985
162,Daerah Khusus Ibukota Jakarta,5985
163,Jawa Tengah,548
