id_loker,provinsi,pendidikan
1,Daerah Khusus Ibukota Jakarta,D3
2,Daerah Khusus Ibukota Jakarta,S1
3,Jawa Tengah,D3
3,Jawa Tengah,S1
3,Jawa Tengah,SMA
4,Daerah Khusus Ibukota Jakarta,D3
5,Jawa Tengah,D3
5,Jawa Tengah,S1
5,Jawa Tengah,SMA
6,Jawa Tengah,D3
6,Jawa Tengah,S1
6,Jawa Tengah,SMA
7,Daerah Khusus Ibukota Jakarta,D3
7,Daerah Khusus Ibukota Jakarta,S1
8,Daerah Khusus Ibukota Jakarta,D3
9,Daerah Khusus Ibukota Jakarta,S2
10,Jawa Tengah,D3
10,Jawa Tengah,S1
10,Jawa Tengah,SMA
11,Jawa Tengah,D3
11,Jawa Tengah,S1
11,Jawa Tengah,SMA
12,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
13,Kepulauan Bangka Belitung,S1
14,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
15,Jawa Tengah,D3
15,Jawa Tengah,S1
15,Jawa Tengah,SMA
16,Jawa Tengah,D3
16,Jawa Tengah,S1
16,Jawa Tengah,SMA
17,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
18,Jawa Tengah,D3
18,Jawa Tengah,S1
18,Jawa Tengah,SMA
19,Jawa Tengah,D3
19,Jawa Tengah,S1
19,Jawa Tengah,SMA
20,Jawa Tengah,D3
20,Jawa Tengah,S1
20,Jawa Tengah,SMA
21,Jawa Tengah,D3
21,Jawa Tengah,S1
21,Jawa Tengah,SMA
22,Jawa Timur,D3
22,Jawa Timur,S1
22,Jawa Timur,SMA
23,Jawa Tengah,D3
23,Jawa Tengah,S1
23,Jawa Tengah,SMA
24,Jawa Barat,TIDAK DICANTUMKAN
25,Daerah Khusus Ibukota Jakarta,D3
25,Daerah Khusus Ibukota Jakarta,S1
26,Daerah Khusus Ibukota Jakarta,S1
27,Jawa Tengah,D3
27,Jawa Tengah,S1
27,Jawa Tengah,SMA
28,Daerah Khusus Ibukota Jakarta,TIDAK DICANTUMKAN
29,Jawa Timur,TIDAK DICANTUMKAN
30,Jawa Tengah,D3
30,Jawa Tengah,S1
30,Jawa Tengah,SMA
31,Jawa Tengah,D3
31,Jawa Tengah,S1
31,Jawa Tengah,SMA
32,Jawa Tengah,D3
32,Jawa Tengah,S1
32,Jawa Tengah,SMA
33,Jawa Tengah,D3
33,Jawa Tengah,S1
33,Jawa Tengah,SMA
