id_loker,provinsi,pendidikan
1,Kepulauan Riau,D3
2,Kepulauan Riau,D3
3,DKI Jakarta,TIDAK DICANTUMKAN
4,DKI Jakarta,TIDAK DICANTUMKAN
5,Kepulauan Riau,TIDAK DICANTUMKAN
6,Jawa Barat,TIDAK DICANTUMKAN
7,DKI Jakarta,S1
8,DKI Jakarta,TIDAK DICANTUMKAN
9,DKI Jakarta,TIDAK DICANTUMKAN
10,DKI Jakarta,S1
11,DKI Jakarta,S1
12,DKI Jakarta,TIDAK DICANTUMKAN
13,Jawa Barat,TIDAK DICANTUMKAN
14,DKI Jakarta,S1
15,DKI Jakarta,TIDAK DICANTUMKAN
16,Jawa Barat,TIDAK DICANTUMKAN
17,DKI Jakarta,TIDAK DICANTUMKAN
18,DKI Jakarta,TIDAK DICANTUMKAN
19,DKI Jakarta,TIDAK DICANTUMKAN
20,DKI Jakarta,S1
21,Kepulauan Riau,TIDAK DICANTUMKAN
22,DKI Jakarta,TIDAK DICANTUMKAN
23,DKI Jakarta,TIDAK DICANTUMKAN
24,DKI Jakarta,TIDAK DICANTUMKAN
25,DKI Jakarta,S1
26,DKI Jakarta,TIDAK DICANTUMKAN
27,Kepulauan Riau,TIDAK DICANTUMKAN
28,Kepulauan Riau,TIDAK DICANTUMKAN
29,,TIDAK DICANTUMKAN
30,DKI Jakarta,TIDAK DICANTUMKAN
31,Kepulauan Riau,D3
32,DKI Jakarta,TIDAK DICANTUMKAN
33,DKI Jakarta,TIDAK DICANTUMKAN
34,Kepulauan Riau,D3
35,DKI Jakarta,TIDAK DICANTUMKAN
36,DKI Jakarta,TIDAK DICANTUMKAN
37,DKI Jakarta,TIDAK DICANTUMKAN
38,DKI Jakarta,TIDAK DICANTUMKAN
39,DKI Jakarta,S1
40,Kepulauan Riau,TIDAK DICANTUMKAN
41,DKI Jakarta,TIDAK DICANTUMKAN
42,DKI Jakarta,TIDAK DICANTUMKAN
43,DKI Jakarta,D3
43,DKI Jakarta,S1
44,DKI Jakarta,D3
