id_loker,provinsi,skills
1,Kepulauan Riau,.NET
1,Kepulauan Riau,English
1,Kepulauan Riau,Ado.net
1,Kepulauan Riau,Windows Azure
1,Kepulauan Riau,Saas
1,Kepulauan Riau,COM+
1,Kepulauan Riau,ASP.NET
1,Kepulauan Riau,VB.NET
1,Kepulauan Riau,HTML
1,Kepulauan Riau,XML
1,Kepulauan Riau,XPath
2,Kepulauan Riau,ReactJS
2,Kepulauan Riau,HTML
2,Kepulauan Riau,Express.js
2,Kepulauan Riau,Vue.js
2,Kepulauan Riau,Cloud Platform
2,Kepulauan Riau,CSS
2,Kepulauan Riau,nodejs
2,Kepulauan Riau,AngularJS
2,Kepulauan Riau,Restful Api
2,Kepulauan Riau,Koa.js
2,Kepulauan Riau,Git
2,Kepulauan Riau,apollo graphql
3,DKI Jakarta,Teamwork
3,DKI Jakarta,Microsoft Office
3,DKI Jakarta,Good Communication Skills
4,DKI Jakarta,Agile Scrum
4,DKI Jakarta,English
4,DKI Jakarta,Java
4,DKI Jakarta,Hibernate
4,DKI Jakarta,Communication
4,DKI Jakarta,Ci/cd
4,DKI Jakarta,J2ee
4,DKI Jakarta,Restful Api
4,DKI Jakarta,Devops
5,Kepulauan Riau,Cms Wordpress
5,Kepulauan Riau,WordPress
5,Kepulauan Riau,Wordpress Development
6,Jawa Barat,Marketing
6,Jawa Barat,Smart And Fast Learner
6,Jawa Barat,English
6,Jawa Barat,Information Technology
6,Jawa Barat,Business Ideas
6,Jawa Barat,Communication
6,Jawa Barat,Sales
6,Jawa Barat,Recite Quran
6,Jawa Barat,Arabic
6,Jawa Barat,Graphic Design
6,Jawa Barat,French
6,Jawa Barat,Google Ads
6,Jawa Barat,Copywriting
6,Jawa Barat,Chinese
6,Jawa Barat,Google Analytics
7,DKI Jakarta,Accounting
7,DKI Jakarta,Financial Analysis
7,DKI Jakarta,Tax Accounting
7,DKI Jakarta,Account Management
7,DKI Jakarta,Financial Accounting
8,DKI Jakarta,Content Writing
8,DKI Jakarta,Content Creation
8,DKI Jakarta,Content Marketing
8,DKI Jakarta,Content Strategy
9,DKI Jakarta,Marketing
9,DKI Jakarta,Digital Marketing
9,DKI Jakarta,Branding and Identity
9,DKI Jakarta,Social Media
9,DKI Jakarta,Social Media Management
9,DKI Jakarta,Brand Marketing
9,DKI Jakarta,Fashion
9,DKI Jakarta,Content Marketing
9,DKI Jakarta,Content Strategy
9,DKI Jakarta,Visual Basic
9,DKI Jakarta,Social Media Marketing
9,DKI Jakarta,Photo & Video Editing
9,DKI Jakarta,Retail Fashion
9,DKI Jakarta,Fashion Design
9,DKI Jakarta,Marketing Strategy
9,DKI Jakarta,Content Management
9,DKI Jakarta,Fashion Photography
9,DKI Jakarta,Fashion Styling
9,DKI Jakarta,Digital Marketing Plan
10,DKI Jakarta,Social Media Marketing
10,DKI Jakarta,English
10,DKI Jakarta,Content Writing
10,DKI Jakarta,Customer Engagement
10,DKI Jakarta,Social Media Management
10,DKI Jakarta,Content Creation
10,DKI Jakarta,Bahasa Indonesia
10,DKI Jakarta,Content Strategy
10,DKI Jakarta,Adobe Illustrator
10,DKI Jakarta,Copywriting
10,DKI Jakarta,Adobe Premiere Pro
10,DKI Jakarta,Adobe Photoshop
11,DKI Jakarta,Sap Bw Certification
11,DKI Jakarta,SAP
11,DKI Jakarta,SAP BW
12,DKI Jakarta,Node.js
12,DKI Jakarta,JavaScript
12,DKI Jakarta,Graphql
12,DKI Jakarta,Python
12,DKI Jakarta,Docker
12,DKI Jakarta,Kubernetes
12,DKI Jakarta,Restful Api
12,DKI Jakarta,Golang
13,Jawa Barat,JavaScript
13,Jawa Barat,jQuery
13,Jawa Barat,Html / Css / Bootstrap
13,Jawa Barat,Html5 & Css3
14,DKI Jakarta,JavaScript
14,DKI Jakarta,Cms
14,DKI Jakarta,CSS
14,DKI Jakarta,Javascript Framework
14,DKI Jakarta,Html 5
15,DKI Jakarta,Communication
15,DKI Jakarta,Fashion Design
15,DKI Jakarta,Good Communication Skills
15,DKI Jakarta,Fashion Styling
15,DKI Jakarta,Marketing Communications
15,DKI Jakarta,Communication Skills
15,DKI Jakarta,Fashion
16,Jawa Barat,Interpersonal Skills
16,Jawa Barat,Adobe Lightroom
16,Jawa Barat,Lighting Design
16,Jawa Barat,lighting for photography
16,Jawa Barat,Adobe Lightingroom
16,Jawa Barat,Basic In Photography
16,Jawa Barat,Photoshop
16,Jawa Barat,Digital Photography
16,Jawa Barat,Food Photography
16,Jawa Barat,Teamwork
16,Jawa Barat,Photo & Video Editing
16,Jawa Barat,Portrait Photography
16,Jawa Barat,Event Photography
16,Jawa Barat,Photo Studio Lighting
16,Jawa Barat,Communication Skills
16,Jawa Barat,Commercial Photography
16,Jawa Barat,Basic Photography
16,Jawa Barat,Can Setup Lighting Concept
16,Jawa Barat,Communication
16,Jawa Barat,Photography
16,Jawa Barat,Good Teamwork
16,Jawa Barat,Team Player
16,Jawa Barat,Good Communication Skills
16,Jawa Barat,Fashion Photography
16,Jawa Barat,Lighting
16,Jawa Barat,Basic Photo Editing
16,Jawa Barat,Basic Photo/video Editing
16,Jawa Barat,Teamwork And Interpersonal Skills
16,Jawa Barat,Adobe Photoshop
16,Jawa Barat,Work Under Pressure
16,Jawa Barat,Hard worker and able to work in team as well as independently
16,Jawa Barat,Can Work Underpressure
16,Jawa Barat,Able To Work Under Pressure
17,DKI Jakarta,JavaScript
17,DKI Jakarta,.NET
17,DKI Jakarta,ReactJS
17,DKI Jakarta,React Native
17,DKI Jakarta,Java
17,DKI Jakarta,PHP
18,DKI Jakarta,MySQL
18,DKI Jakarta,A/B Testing
18,DKI Jakarta,Data Collection
18,DKI Jakarta,Tableau
18,DKI Jakarta,Python
18,DKI Jakarta,Elasticsearch
18,DKI Jakarta,ETL
18,DKI Jakarta,Algorithms
18,DKI Jakarta,Data Infrastructure
19,DKI Jakarta,Financial Risk Management
19,DKI Jakarta,Credit Analysis
19,DKI Jakarta,Option Pricing Models
19,DKI Jakarta,Decision Making
20,DKI Jakarta,JavaScript
20,DKI Jakarta,ReactJS
20,DKI Jakarta,HTML
20,DKI Jakarta,Flutter
20,DKI Jakarta,Vue.js
20,DKI Jakarta,CSS
20,DKI Jakarta,AngularJS
20,DKI Jakarta,Hybrid Apps
20,DKI Jakarta,Ionic Framework
21,Kepulauan Riau,Bitbucket
21,Kepulauan Riau,English
21,Kepulauan Riau,Vue.js
21,Kepulauan Riau,Laravel
21,Kepulauan Riau,Coding Skills
21,Kepulauan Riau,Git
22,DKI Jakarta,MySQL
22,DKI Jakarta,PostgreSQL
22,DKI Jakarta,Python
22,DKI Jakarta,Maria Db
22,DKI Jakarta,Golang
23,DKI Jakarta,Fraud
23,DKI Jakarta,Anti bribery&Corruption
23,DKI Jakarta,KYC
23,DKI Jakarta,Corporate Irregularities
23,DKI Jakarta,Asset Misappropriation
23,DKI Jakarta,Conflict Of Interest
24,DKI Jakarta,Devops
24,DKI Jakarta,IT Infrastructure
24,DKI Jakarta,Alicloud
24,DKI Jakarta,Google Cloud Platform (GCP)
24,DKI Jakarta,Amazon Web Services (AWS)
25,DKI Jakarta,Accounting
25,DKI Jakarta,Finance
25,DKI Jakarta,Public Accounting
25,DKI Jakarta,Financial Accounting
26,DKI Jakarta,Marketing Mix
26,DKI Jakarta,Leadership
26,DKI Jakarta,Crm Management
27,Kepulauan Riau,Node.js
27,Kepulauan Riau,Automated Testing
27,Kepulauan Riau,Azure
27,Kepulauan Riau,Java
27,Kepulauan Riau,Problem Solving
27,Kepulauan Riau,iOS
27,Kepulauan Riau,Agile Environment
27,Kepulauan Riau,Basic Java
27,Kepulauan Riau,Amazon Web Services (AWS)
28,Kepulauan Riau,Front-end
28,Kepulauan Riau,Node.js
28,Kepulauan Riau,JavaScript
28,Kepulauan Riau,ReactJS
28,Kepulauan Riau,Azure
28,Kepulauan Riau,iOS
28,Kepulauan Riau,Android
28,Kepulauan Riau,Amazon Web Services (AWS)
28,Kepulauan Riau,Agile Project Management
29,,K13
29,,Guru
29,,Teaching
29,,Mengajar
30,DKI Jakarta,Ios Swift
30,DKI Jakarta,iOS
30,DKI Jakarta,iOS Development
31,Kepulauan Riau,SAP
31,Kepulauan Riau,Ems Industry
31,Kepulauan Riau,Supply Chain
31,Kepulauan Riau,Ms Office
