asli,target,0
fullstack developer,fullstack developer,84
backend developer,backend developer,79
mobile developer,mobile developer,79
frontend developer,frontend developer,60
graphic designer,graphic designer,50
business development,business development,47
quality assurance,quality assurance,47
digital marketing,digital marketing,36
software engineer,software engineer,35
sales,sales,29
social media strategist,social media strategist,28
ui/ux designer,ui/ux designer,27
account manager,account manager,25
sales executive,sales executive,25
web developer,web developer,24
programmer,programmer,24
project manager,project manager,23
product manager,product manager,23
account executive,account executive,23
part-time internship,part-time internship,20
hrd,hrd,20
java developer,java developer,19
staff administrasi,staff administrasi,17
customer service,customer service,16
content creator,content creator,14
devops engineer,devops engineer,13
data scientist,data scientist,12
sales manager,sales manager,11
seo specialist,seo specialist,10
marketing executive,marketing executive,10
marketing manager,marketing manager,9
accounting staff,accounting staff,8
business consultant,business consultant,6
head of sales,head of sales,6
freelance site acquisition,freelance site acquisition,6
telemarketing,telemarketing,5
creative designer,creative designer,5
purchasing staff,purchasing staff,5
scrum master,scrum master,5
it manager,it manager,4
wordpress developer,wordpress developer,4
data engineer,data engineer,4
management trainee,management trainee,4
translator,translator,4
content writer,content writer,4
it security,it security,4
php developer,php developer,4
.net developer,.net developer,4
business analyst,business analyst,4
marketing,marketing,3
supervisor produksi,supervisor produksi,3
freelance site acquisitions,freelance site acquisitions,3
react native developer,react native developer,3
senior data engineer,data engineer,3
sales project engineer,sales engineer,3
solution architect,architect,3
videographer,videographer,3
public relation,public relation,3
legal officer,legal officer,3
it support,it support,3
python developer,python developer,3
head of product,head of product,3
product designer,product designer,3
system engineer,system engineer,3
copywriter,copywriter,3
art director,art director,2
site reliability engineer,site reliability engineer,2
merchandising manager,merchandising manager,2
pre-sales,sales,2
c# developer,c# developer,2
senior react native developer,react native developer,2
data entry intern,data entry,2
sales engineer,sales engineer,2
finance manager,finance manager,2
business intelligence analyst,business intelligence analyst,2
executive assistant,executive assistant,2
kepala produksi,head of product,2
financial analyst,financial analyst,2
staff produksi kimia - penanggung jawab teknis,staff produksi kimia,2
digital sales,sales,2
branch finance officer,branch finance officer,2
country manager,country manager,2
marketing komunikasi,marketing,2
website developer,web developer,2
host fashion muslim,host fashion muslim,2
general manager,general manager,2
chief financial officer,chief financial officer,2
tax accounting,tax accounting,2
business analyst,business analyst,2
sales & marketing,sales & marketing,2
growth hacker,growth hacker,2
public relation manager,public relation,2
chief marketing officer,chief marketing officer,2
finance officer internship,finance officer,2
digital marketer,digital marketing,2
finance staff,finance staff,2
implementation consultant,consultant,2
creative director,creative director,2
administrative & personal assistant,personal assistant,2
fashion designer,fashion designer,2
senior data analyst,data analyst,2
branch manager,branch manager,2
data analyst,data analyst,2
it business analyst,business analyst,2
financial consultant,financial consultant,2
legal staff,legal officer,2
teknisi,teknisi,2
technical lead,technical lead,2
staff accounting,staff accounting,2
analytics manager,analytics manager,2
personal assistant,personal assistant,2
marketing - campaign & digital performance,marketing,2
sales supervisor,sales supervisor,2
vp of engineering,vp of engineering,2
head of marketing,head of marketing,2
php developer,php developer,2
accounting private tutor,accounting private tutor,1
finance & accounting associate,finance & accounting associate,1
senior engineer data center & system analyst,data engineer,1
head designer & product development,head designer & product development,1
software development engineer,software engineer,1
animators,animators,1
product executive,product executive,1
marketing & communication,marketing & communication,1
data quality test engineer,data quality test engineer,1
e-commerce channel specialist,e-commerce channel specialist,1
external revenue specialist,external revenue specialist,1
marketing lead,marketing lead,1
operator zoom uclass,operator zoom uclass,1
operational security manager,operational security manager,1
