Jenis Tunjangan dari data asli (Jangan dirubah),Jenis tunjangan,Jenis Tunjangan2
kesehatan,kesehatan,Kesehatan
parkir,parkir,umum
tidak tersedia,tidak tersedia,tidak tersedia
gigi,,Kesehatan
bonus tahunan,,bonus
tunjangan lainnya,,umum
bantuan pendidikan,,pendidikan
pinjaman,,umum
penglihatan,,kacamata
worker's social security program,,bpjs-jamsostek
annual bonus,,bonus
olahraga (contoh: pusat kebugaran),,wellnes
annual leave,,cuti
birthday leave,,cuti
charity day leave,,cuti
bpjs kesehatan & bpjamsostek,,bpjs-jamsostek
transport,,transportasi
meal,,makanan
incentive (perfomance),,bonus
bonus,,bonus
medical,,kesehatan
commission,,bonus
health insurance,,kesehatan
employment insurance,,kesehatan
lunch,,makan
ketenagakerjaan,,bpjs-jamsostek
work from home (during pandemic period),,tidak tersedia
kosong,,tidak tersedia
jamsostek,,bpjs-jamsostek
pajak ditanggung perusahaan,,umum
education support,,pendidikan
sports (e.g. gym),,wellnes
vision,,kacamata
bpjs,,bpjs-jamsostek
perjalanan ke eropa,,travelling
bonus & komisi yang besar/menarik. program training,,bonus
-,,tidak tersedia
bpjs ketenagakerjaan,,bpjs-jamsostek
bpjs kesehatan,,bpjs-jamsostek
lembur,,overtime
based on company policy,,umum
pulsa,,komunikasi
thr,,THR
komisi,,bonus
team bonding activities,,umum
flexible benefits,,umum
performance bonus,,bonus
transport allowance,,transportasi
structured training,,pendidikan
uang lembur,,overtime
makan siang,,makan
makan malam,,makan
competitive salary,,tidak tersedia
medical insurance,,kesehatan
overtime pay,,overtime
monthly salary,,tidak tersedia
service charge,,pajak
incentive bonus,,bonus
medical allowance,,kesehatan
career path,,pendidikan
glasses,,kacamata
cop,,tidak tersedia
catering,,makan
local & overseas training,,pendidikan
14 days for annual leave per year,,cuti
overtime,,overtime
free lunch,,makan
asuransi kesehatan,,kesehatan
dll,,Lainnya
others benefits,,Lainnya
loyalty bonus,,bonus
negotiable,,negotiable
tunjangan jabatan,,promosi
bpjs kesehatan dan ketenagakerjaan,,bpjs-jamsostek
training,,pendidikan
lunch meal,,makan
mess,,wellnes
bpjs* sesuai ketentuan perusahaan,,bpjs-jamsostek
gaji dan insentif,,bonus
accomodation,,wellnes
all bpjs & asuransi lainya,,bpjs-jamsostek
bonus & commission plan,,bonus
skills development,,pendidikan
trip / training to australia,,pendidikan
maternity,,kesehatan
housing,,perumahan
bonus dari penjualan,,bonus
phone allowance,,komunikasi
learning online support like udemy.com,,pendidikan
meal allowance,,makan
kecelakaan kerja,,asuransi
jaminan hari tua dan jaminan pensiun,,jht-pensiun
work life balanced,,wellnes
makan,,makan
transportasi,,transportasi
attractive bonus scheme,,bonus
cuti variabel,,cuti
asuransi swasta,,asuransi
pajak pph21,,pajak
in-house clinic,,kesehatan
festive allowance (thr),,THR
12 days of annual leave,,cuti
performance bonuses,,bonus
laptop for work,,komunikasi
insurance and social security,,bpjs-jamsostek
gaji umr,,tidak tersedia
marriage,,pernikahan
child birth,,lahiran
kacamata,,kacamata
performance incentive scheme,,bonus
insurance,,asuransi
maternity allowance,,kesehatan
bpjs ketenagakerjaan dan bpjs kesehatan,,bpjs-jamsostek
depends on working location,,daerah
meal voucher / lunch box,,makan
relocation support,,daerah
maternity support,,kesehatan
vaccination,,kesehatan
recreational area,,wellnes
flexible working time,,jabatan
transportation from surabaya/sidoarjo applied for several departement,,transportasi
medical insurance (certain positions),,kesehatan
transport/vehicle (for manager up),,transportasi
etc,,umum
astek,,kesehatan
depend on positions & level,,jabatan
komunikasi,,komunikasi
life insurance,,kesehatan
bonus/commission,,bonus
cuti tahunan,,cuti
bpjs kesehatan & ketenagakerjaan,,bpjs-jamsostek
bpjs ketenagakerjaan dan kesehatan. pinjaman,,bpjs-jamsostek
itemku monthly platform voucher,,komunikasi
thr dan bonus tahunan,,THR
work from home,,tidak tersedia
flexible hours,,flexible
transportation and telephone,,transportasi
transportation,,transportasi
meals,,makan
pulse,,komunikasi
telecommunication,,komunikasi
bpjs (kesehatan & ketenagakerjaan),,bpjs-jamsostek
(sesuai dengan peraturan perusahaan),,umum
interesting remuneration,,jabatan
penempatan site : tunjangan site,,daerah
daerah,,umum
pembantu,,umum
bpjs kesehatan dan bpjs ketenagakerjaan,,bpjs-jamsostek
depend on the project regulation,,umum
bpjs ketenagakerja,,bpjs-jamsostek
tunjangan makan,,makan
tunjangan transport,,transportasi
bonus omset bulanan,,bonus
meal & transport allowance,,makan-transport
flexi hours,,umum
overseas exposure,,umum
bpjstk dan bpjskes,,bpjs-jamsostek
tunjangan kinerja dan lainnya,,jabatan
uang transport,,transportasi
status karyawan tetap,,umum
transportation allowance / operational car,,transportasi
insentif,,bonus
insentive,,bonus
as offered in package,,umum
bpjs kesehatan bpjs tenaga kerja,,bpjs-jamsostek
overtime allowance,,overtime
other benefits,,umum
employee discount,,umum
bonus disesuaikan dengan perusahaan (bergerak dibidang travel online),,bonus
bpjs naker,,bpjs-jamsostek
asuransi komersial,,asuransi
dana pensiun,,jht-pensiun
retirement support,,jht-pensiun
bpjs tenaga kerja,,bpjs-jamsostek
operational,,operasional
kesehatan & fasilitas olahraga (contoh : pusat kebugaran),,wellnes
-shuttle bus,,transportasi
- monthly salary,,umum
- employee loan,,umum
- life insurance. - career path,,asuransi
internet,,komunikasi
phone,,komunikasi
bpjs tk,,bpjs-jamsostek
sports (swimming pool,,wellnes
zumba,,wellnes
etc),,umum
project bonus,,bonus
yearly bonus,,bonus
health,,kesehatan
financial,,umum
work/life,,umum
social,,umum
pajak dibayarkan oleh perusahaan,,umum
uang perjalanan dinas,,transportasi
monthly incentive,,bonus
lunch bpjs career path,,bpjs-jamsostek
fee comision,,bonus
cop/mop (car /motorcycle ownership program),,transportasi
- gaji pokok -closing fee,,bonus
bonus penjualan,,bonus
kesempatan tour dalam dan luar negri,,travelling
free coffee,,makan
kelas bahasa jepang,,pendidikan
annual wage supplement,,bonus
travelling allowance,,travelling
perjalanan dinas,,transportasi
bpjs kesehaan,,bpjs-jamsostek
bpjs ketengakerjaan,,bpjs-jamsostek
travel allowance,,travelling
skill development,,pendidikan
competitive salary & benefit,,bonus
outpatient & inpatient insurance,,asuransi
jaminan hari tua,,jht-pensiun
travel,,travelling
bpjs & pph 21 paid by the company,,bpjs-jamsostek
daily uses,,umum
bpjs ketenagakerjaan dan pensiun,,bpjs-jamsostek
incentive trip,,umum
bpjs kesehatan & bpjs ketenagakerjaan,,bpjs-jamsostek
outbond,,umum
rekreasi dalam & luar negeri,,wellnes
medical (provider sinar mas),,kesehatan
gaji pokok,,umum
production bonus based on sales target,,bonus
bonus allowance,,bonus
based on performance,,umum
tax allowance,,umum
transportation allowance,,transportasi
breakfast,,makan
dinner,,makan
dormitory,,umum
sport station,,wellness
cinema,,wellness
clinic,,kesehatan
allowance,,umum
bonus dan incentive trip,,bonus
spiritual journey,,wellness
muslim culture,,wellness
tarbiyah,,wellness
billiards,,wellness
tunjangan harian dan kesehatan,,kesehatan
reward,,bonus
bus,,transportasi
catering provided,,makan
health care insurance,,kesehatan
pension fund and social security,,jht-pensiun
transport allowances,,transportasi
dormitory and shuttle,,transportasi
jenjang karir,,jabatan
trasnportasi,,transportasi
beras,,beras
tunjangan kehadiran,,umum
tunjangan shift,,umum
olahraga.,,wellness
pelatihan,,pendidikan
pendampingan di lapangan,,pendidikan
bagi hasil komisi penjualan.,,bonus
life & accident insurance,,asuransi
mobile phone,,komunikasi
jaminan pensiun,,jht-pensiun
jaminan kecelakaan kerja & jaminan kematian,,asuransi
outpatient & inpatient coverage,,kesehatan
bonus harian dan bonus bulanan,,bonus
tempat tinggal mes,,perumahan
bpjs ketenaga kerjaan,,bpjs-jamsostek
bpjs healthy,,bpjs-jamsostek
bpjs employment,,bpjs-jamsostek
and thr,,THR
communication allowance,,komunikasi
all bpjs,,bpjs-jamsostek
frame and others,,kacamata
transportation & meal allowance,,transportasi-makan
jamsostek (jaminan hari tua),,jht-pensiun
bjps ketenagakerjaan,,bpjs-jamsostek
others,,umum
jabatan,,jabatan
bpjs k & tk,,bpjs-jamsostek
incentive,,bonus
overseas t,,travelling
recreational space,,wellness
career development,,pendidikan
insentif tindakan,,bonus
insentif/komisi tidak terbatas,,bonus
pelatihan dan pengembangan,,pendidikan
maternity insurance,,kesehatan
bpjs kesehatan dan bpjs tenaker,,bpjs-jamsostek
perfomance bonus,,bonus
cuti,,cuti
komisi penjualan,,bonus
asuransi kesehatan + bpjs kesehatan,,bpjs-jamsostek
meals allowance,,makan
pension fund,,jht-pensiun
salary+insentive,,bonus
tunjangan site (perumahan,,perumahan
makan dan tiket mudik),,makan-transport
bonus dan dana pensiun,,jht-pensiun
profit sharing,,saham
flexible work hours,,flexible time
medical and dental,,asuransi
also valid for spouse and up to 3 children,,keluarga
loans,,umum
dan tunjangan lain,,umum
tunjangan prestasi,,jabatan
makan siang (katering hari senin - jumat),,makan
sport activity,,wellness
kehadiran,,umum
shift (malam),,umum
dan kesehatan,,kesehatan
jht,,jht-pensiun
jkk,,bpjs-jamsostek
transportation and commission,,transportasi-bonus
inssurance,,asuransi
medical check up,,kesehatan
overseas training,,pendidikan
- allowance (jika capai target),,bonus
bpjs kesehatan & tenaga kerja,,bpjs-jamsostek
service award,,umum
-gaji pokok,,umum
-uang kerajinan,,umum
-uang bensin,,umum
-bpjs,,bpjs-jamsostek
-bonus target,,bonus
will be discused later,,umum
chance for global meeting at japan,,travelling
bpjs ketenagakerjaan & kesehatan,,bpjs-jamsostek
bonus kpi,,bonus
acara refreshing bulanan,,wellness
cemilan,,makan
parking,,umum
outstanding award,,bonus
global exposure & learning,,pendidikan
personal care,,kesehatan
other,,umum
lunch and private insurance,,makan-asuransi
internet & mobile,,komunikasi
allowance retired & allowance old day,,jht-pensiun
annual reward,,bonus
snack,,makan
food,,makan
tax,,umum
comfort office,,umum
sales commission,,bonus
bonus by project,,bonus
keanggotaan koperasi,,koperasi member
diskon karyawan,,umum
bpjstk,,bpjs-jamsostek
free snacks & coffee/tea,,makan
outing,,wellness
personal development,,pendidikan
dana pensiun dan bonus tahunan,,jht-pensiun
bjps kesehatan,,bpjs-jamsostek
mess karyawan,,perumahan
